,evaporation,rainfall
2009-06-12 02:00:00,0.97,0.0
2009-06-12 03:00:00,0.96,0.0
2009-06-12 04:00:00,0.96,0.0
2009-06-12 05:00:00,0.95,0.0
2009-06-12 06:00:00,0.95,0.0
2009-06-12 07:00:00,0.94,0.0
2009-06-12 08:00:00,0.94,0.0
2009-06-12 09:00:00,0.94,0.0
2009-06-12 10:00:00,0.94,0.0
2009-06-12 11:00:00,0.94,0.0
2009-06-12 12:00:00,0.94,0.0
2009-06-12 13:00:00,0.94,0.0
2009-06-12 14:00:00,0.94,0.0
2009-06-12 15:00:00,0.94,0.0
2009-06-12 16:00:00,0.94,0.0
2009-06-12 17:00:00,0.94,0.0
2009-06-12 18:00:00,0.94,0.0
2009-06-12 19:00:00,0.94,0.0
2009-06-12 20:00:00,0.94,0.0
2009-06-12 21:00:00,0.94,0.0
2009-06-12 22:00:00,0.94,0.0
2009-06-12 23:00:00,0.94,0.0
2009-06-13 00:00:00,0.94,0.0
2009-06-13 01:00:00,0.94,0.0
2009-06-13 02:00:00,0.94,0.0
2009-06-13 03:00:00,0.94,0.0
2009-06-13 04:00:00,0.94,0.0
2009-06-13 05:00:00,0.94,0.0
2009-06-13 06:00:00,0.94,0.0
2009-06-13 07:00:00,0.94,0.0
2009-06-13 08:00:00,0.94,0.0
2009-06-13 09:00:00,0.94,0.0
2009-06-13 10:00:00,0.94,0.0
2009-06-13 11:00:00,0.94,0.005
2009-06-13 12:00:00,0.94,0.017
2009-06-13 13:00:00,0.94,0.017
2009-06-13 14:00:00,0.94,0.017
2009-06-13 15:00:00,0.94,0.017
2009-06-13 16:00:00,0.94,0.011
2009-06-13 17:00:00,0.94,0.0
2009-06-13 18:00:00,0.94,0.0
2009-06-13 19:00:00,0.94,0.0
2009-06-13 20:00:00,0.94,0.0
2009-06-13 21:00:00,0.94,0.0
2009-06-13 22:00:00,0.94,0.0
2009-06-13 23:00:00,0.94,0.0
2009-06-14 00:00:00,0.94,0.0
2009-06-14 01:00:00,0.94,0.0
2009-06-14 02:00:00,0.94,0.0
2009-06-14 03:00:00,0.94,0.0
2009-06-14 04:00:00,0.94,0.0
2009-06-14 05:00:00,0.94,0.0
2009-06-14 06:00:00,0.94,0.0
2009-06-14 07:00:00,0.94,0.0
2009-06-14 08:00:00,0.94,0.0
2009-06-14 09:00:00,0.94,0.0
2009-06-14 10:00:00,0.94,0.0
2009-06-14 11:00:00,0.94,0.0
2009-06-14 12:00:00,0.94,0.0
2009-06-14 13:00:00,0.94,0.0
2009-06-14 14:00:00,0.94,0.0
2009-06-14 15:00:00,0.94,0.0
2009-06-14 16:00:00,0.94,0.0
2009-06-14 17:00:00,0.94,0.0
2009-06-14 18:00:00,0.94,0.0
2009-06-14 19:00:00,0.94,0.0
2009-06-14 20:00:00,0.94,0.0
2009-06-14 21:00:00,0.94,0.0
2009-06-14 22:00:00,0.94,0.0
2009-06-14 23:00:00,0.94,0.0
2009-06-15 00:00:00,0.94,0.0
2009-06-15 01:00:00,0.94,0.0
2009-06-15 02:00:00,0.94,0.0
2009-06-15 03:00:00,0.94,0.0
2009-06-15 04:00:00,0.94,0.0
2009-06-15 05:00:00,0.94,0.0
2009-06-15 06:00:00,0.94,0.0
2009-06-15 07:00:00,0.94,0.0
2009-06-15 08:00:00,0.94,0.0
2009-06-15 09:00:00,0.94,0.0
2009-06-15 10:00:00,0.94,0.0
2009-06-15 11:00:00,0.94,0.0
2009-06-15 12:00:00,0.94,0.0
2009-06-15 13:00:00,0.94,0.0
2009-06-15 14:00:00,0.94,0.0
2009-06-15 15:00:00,0.94,0.0
2009-06-15 16:00:00,0.94,0.0
2009-06-15 17:00:00,0.94,0.0
2009-06-15 18:00:00,0.94,0.0
2009-06-15 19:00:00,0.94,0.0
2009-06-15 20:00:00,0.94,0.0
2009-06-15 21:00:00,0.94,0.0
2009-06-15 22:00:00,0.94,0.0
2009-06-15 23:00:00,0.94,0.0
2009-06-16 00:00:00,0.94,0.0
2009-06-16 01:00:00,0.94,0.0
2009-06-16 02:00:00,0.94,0.0
2009-06-16 03:00:00,0.94,0.0
2009-06-16 04:00:00,0.94,0.0
2009-06-16 05:00:00,0.94,0.0
2009-06-16 06:00:00,0.94,0.0
2009-06-16 07:00:00,0.94,0.0
2009-06-16 08:00:00,0.94,0.0
2009-06-16 09:00:00,0.94,0.0
2009-06-16 10:00:00,0.94,0.0
2009-06-16 11:00:00,0.94,0.0
2009-06-16 12:00:00,0.94,0.021
2009-06-16 13:00:00,0.94,0.026
2009-06-16 14:00:00,0.94,0.03
2009-06-16 15:00:00,0.94,0.036
2009-06-16 16:00:00,0.94,0.036
2009-06-16 17:00:00,0.94,0.195
2009-06-16 18:00:00,0.94,0.221
2009-06-16 19:00:00,0.94,0.019
2009-06-16 20:00:00,0.94,0.013
2009-06-16 21:00:00,0.94,0.017
2009-06-16 22:00:00,0.94,0.03
2009-06-16 23:00:00,0.94,0.03
2009-06-17 00:00:00,0.94,0.03
2009-06-17 01:00:00,0.94,0.046
2009-06-17 02:00:00,0.94,0.045
2009-06-17 03:00:00,0.94,0.038
2009-06-17 04:00:00,0.94,0.084
2009-06-17 05:00:00,0.94,0.045
2009-06-17 06:00:00,0.94,0.045
2009-06-17 07:00:00,0.94,0.037
2009-06-17 08:00:00,0.94,0.034
2009-06-17 09:00:00,0.94,0.035
2009-06-17 10:00:00,0.94,0.036
2009-06-17 11:00:00,0.93,0.044
2009-06-17 12:00:00,0.92,0.052
2009-06-17 13:00:00,0.91,0.048
2009-06-17 14:00:00,0.9,0.109
2009-06-17 15:00:00,0.89,0.033
2009-06-17 16:00:00,0.88,0.029
2009-06-17 17:00:00,0.87,0.04
2009-06-17 18:00:00,0.87,0.042
2009-06-17 19:00:00,0.86,0.042
2009-06-17 20:00:00,0.86,0.042
2009-06-17 21:00:00,0.86,0.073
2009-06-17 22:00:00,0.86,0.076
2009-06-17 23:00:00,0.86,0.062
2009-06-18 00:00:00,0.86,0.066
2009-06-18 01:00:00,0.86,0.066
2009-06-18 02:00:00,0.86,0.075
2009-06-18 03:00:00,0.86,0.096
2009-06-18 04:00:00,0.86,0.128
2009-06-18 05:00:00,0.86,0.121
2009-06-18 06:00:00,0.86,0.128
2009-06-18 07:00:00,0.86,0.14
2009-06-18 08:00:00,0.86,0.226
2009-06-18 09:00:00,0.86,0.143
2009-06-18 10:00:00,0.86,0.097
2009-06-18 11:00:00,0.86,0.018
2009-06-18 12:00:00,0.86,0.0
2009-06-18 13:00:00,0.86,0.0
2009-06-18 14:00:00,0.86,0.0
2009-06-18 15:00:00,0.86,0.0
2009-06-18 16:00:00,0.86,0.0
2009-06-18 17:00:00,0.86,0.018
2009-06-18 18:00:00,0.86,0.047
2009-06-18 19:00:00,0.86,0.054
2009-06-18 20:00:00,0.86,0.054
2009-06-18 21:00:00,0.87,0.054
2009-06-18 22:00:00,0.88,0.036
2009-06-18 23:00:00,0.9,0.185
2009-06-19 00:00:00,0.93,0.009
2009-06-19 01:00:00,0.96,0.038
2009-06-19 02:00:00,0.99,0.061
2009-06-19 03:00:00,1.03,0.077
2009-06-19 04:00:00,1.06,0.091
2009-06-19 05:00:00,1.1,0.126
2009-06-19 06:00:00,1.14,0.69
2009-06-19 07:00:00,1.17,0.182
2009-06-19 08:00:00,1.2,0.349
2009-06-19 09:00:00,1.23,0.231
2009-06-19 10:00:00,1.26,0.146
2009-06-19 11:00:00,1.29,0.128
2009-06-19 12:00:00,1.33,0.167
2009-06-19 13:00:00,1.36,0.1
2009-06-19 14:00:00,1.4,0.075
2009-06-19 15:00:00,1.43,0.071
2009-06-19 16:00:00,1.45,0.071
2009-06-19 17:00:00,1.48,0.117
2009-06-19 18:00:00,1.49,0.01
2009-06-19 19:00:00,1.51,0.002
2009-06-19 20:00:00,1.51,0.002
2009-06-19 21:00:00,1.5,0.0
2009-06-19 22:00:00,1.49,0.0
2009-06-19 23:00:00,1.47,0.0
2009-06-20 00:00:00,1.44,0.0
2009-06-20 01:00:00,1.41,0.0
2009-06-20 02:00:00,1.37,0.0
2009-06-20 03:00:00,1.34,0.0
2009-06-20 04:00:00,1.3,0.0
2009-06-20 05:00:00,1.27,0.0
2009-06-20 06:00:00,1.24,0.0
2009-06-20 07:00:00,1.22,0.0
2009-06-20 08:00:00,1.2,0.0
2009-06-20 09:00:00,1.19,0.0
2009-06-20 10:00:00,1.18,0.0
2009-06-20 11:00:00,1.16,0.0
2009-06-20 12:00:00,1.15,0.0
2009-06-20 13:00:00,1.14,0.0
2009-06-20 14:00:00,1.13,0.0
2009-06-20 15:00:00,1.12,0.0
2009-06-20 16:00:00,1.11,0.0
2009-06-20 17:00:00,1.11,0.0
2009-06-20 18:00:00,1.1,0.0
2009-06-20 19:00:00,1.1,0.0
2009-06-20 20:00:00,1.1,0.0
2009-06-20 21:00:00,1.1,0.0
2009-06-20 22:00:00,1.1,0.0
2009-06-20 23:00:00,1.1,0.0
2009-06-21 00:00:00,1.1,0.0
2009-06-21 01:00:00,1.1,0.0
2009-06-21 02:00:00,1.1,0.0
2009-06-21 03:00:00,1.1,0.0
2009-06-21 04:00:00,1.1,0.0
2009-06-21 05:00:00,1.1,0.0
2009-06-21 06:00:00,1.1,0.0
2009-06-21 07:00:00,1.1,0.0
2009-06-21 08:00:00,1.1,0.0
2009-06-21 09:00:00,1.1,0.0
2009-06-21 10:00:00,1.1,0.0
2009-06-21 11:00:00,1.09,0.0
2009-06-21 12:00:00,1.09,0.0
2009-06-21 13:00:00,1.08,0.0
2009-06-21 14:00:00,1.07,0.0
2009-06-21 15:00:00,1.06,0.0
2009-06-21 16:00:00,1.05,0.0
2009-06-21 17:00:00,1.04,0.0
2009-06-21 18:00:00,1.03,0.0
2009-06-21 19:00:00,1.03,0.0
